id,fname,lname,customer_no,status,offer,created_at,updated_at
1,Tinker,Bell,113,ACTIVE,229000,2021-08-18 16:02:06.743804,
2,Logan,Paul,57,ACTIVE,150000,2021-02-24 16:02:06.743804,
3,Sting,Supara,131,ACTIVE,155000,2021-10-27 16:02:06.743804,
4,Tim,Howard,47,ACTIVE,106000,2020-12-22 16:02:06.743804,
5,String,Barry,77,ACTIVE,68000,2021-04-28 16:02:06.743804,
6,Ram,Teja,111,ACTIVE,197000,2021-08-12 16:02:06.743804,
7,Girija,Drey,67,ACTIVE,220000,2021-03-12 16:02:06.743804,
8,Rorren,Tuffer,115,ACTIVE,157000,2021-08-28 16:02:06.743804,
9,Tru,Stingman,87,ACTIVE,173000,2021-05-28 16:02:06.743804,
10,Ravi,Kumar,48,ACTIVE,104000,2021-01-28 16:02:06.743804,
11,Brad,Horet,38,ACTIVE,79000,2020-10-28 16:02:06.743804,
12,Brock,Taward,50,ACTIVE,148000,2021-02-22 16:02:06.743804,
13,Jaya,Lakshmi,142,ACTIVE,190000,2021-10-28 16:02:06.743804,
14,Warren,Buffer,101,ACTIVE,146000,2021-07-28 16:02:06.743804,
15,Gret,Stoner,121,ACTIVE,115000,2021-10-26 16:02:06.743804,
16,Drew,Barrymore,37,ACTIVE,160000,2020-09-28 16:02:06.743804,
17,Bare,Leeward,97,ACTIVE,242000,2021-06-28 16:02:06.743804,
18,Wern,Tofer,119,ACTIVE,161000,2021-10-13 16:02:06.743804,
19,Garry,Kasparob,117,ACTIVE,214000,2021-09-15 16:02:06.743804,
20,David,Becham,152,ACTIVE,250000,2021-11-01 11:02:06.743804,2021-11-01 12:02:06.743804
21,Sundar,Pichai,163,ACTIVE,230000,2021-10-29 16:42:06.743804,2021-10-29 16:48:06.743804
22,Ramya,Panicker,164,ACTIVE,60000,2021-11-01 11:02:06.743804,2021-11-01 12:02:06.743804
